"proto","srcip","sport","dstip","dsport","spkts","dpkts","sbytes","dbytes","state","stime","ltime","dur","attack_cat"
"tcp","175.45.176.3","23776","149.171.126.12","80","10","6","946","268","FIN","1421927430","1421927430","0.195749","exploits"
"tcp","175.45.176.2","45388","149.171.126.18","80","10","6","1144","268","FIN","1421927431","1421927431","0.185286","exploits"
"tcp","175.45.176.0","30003","149.171.126.14","143","32","116","1608","132728","FIN","1421927432","1421927433","1,040,816","exploits"
"tcp","175.45.176.1","12940","149.171.126.16","80","10","8","878","1002","FIN","1421927435","1421927435","0.268272","dos"
"tcp","175.45.176.3","26334","149.171.126.16","80","10","10","798","5348","FIN","1421927436","1421927436","0.257718","exploits"
"tcp","175.45.176.3","31149","149.171.126.11","80","10","8","840","1420","FIN","1421927438","1421927438","0.261421","exploits"
"tcp","175.45.176.1","24289","149.171.126.19","25","20","20","3422","1834","FIN","1421927439","1421927440","0.787029","exploits"
"tcp","175.45.176.0","43666","149.171.126.19","25","18","16","2730","1212","FIN","1421927440","1421927441","0.648669","exploits"
"udp","175.45.176.3","55249","149.171.126.10","5060","2","0","1388","0","INT","1421927441","1421927441","1.9e-05","generic"
"tcp","175.45.176.1","13377","149.171.126.12","80","10","10","842","5084","FIN","1421927443","1421927443","0.187885","exploits"
"tcp","175.45.176.0","21990","149.171.126.13","80","22","38","2952","44474","FIN","1421927444","1421927447","2,724,995","exploits"
"tcp","175.45.176.0","55659","149.171.126.12","25","106","32","115727","2364","FIN","1421927449","1421927450","109,023","exploits"
"tcp","175.45.176.3","7177","149.171.126.16","80","10","8","1208","1020","FIN","1421927450","1421927450","0.188505","exploits"
"tcp","175.45.176.0","56253","149.171.126.12","25","54","24","48267","2028","FIN","1421927450","1421927451","0.889128","exploits"
"tcp","175.45.176.3","42254","149.171.126.16","445","44","40","10976","9180","FIN","1421927450","1421927452","1,512,013","exploits"
"tcp","175.45.176.2","21424","149.171.126.14","25","38","22","30730","1760","FIN","1421927451","1421927452","0.509136","exploits"
"tcp","175.45.176.1","15810","149.171.126.13","80","12","6","6326","268","FIN","1421927453","1421927453","0.164546","exploits"
"tcp","175.45.176.3","53973","149.171.126.19","46823","10","6","1926","268","FIN","1421927454","1421927454","0.184494","exploits"
"tcp","175.45.176.0","14324","149.171.126.13","502","10","6","468","268","FIN","1421927456","1421927456","0.214066","dos"
"tcp","175.45.176.2","15985","149.171.126.17","80","22","92","1710","115722","FIN","1421927455","1421927456","0.534953","generic"
"tcp","175.45.176.1","50185","149.171.126.16","110","22","36","1018","27074","FIN","1421927457","1421927458","0.819419","exploits"
"tcp","175.45.176.0","30560","149.171.126.12","80","10","6","954","268","FIN","1421927460","1421927460","0.185421","exploits"
"tcp","175.45.176.0","28807","149.171.126.17","80","10","6","1000","268","FIN","1421927461","1421927461","0.183971","exploits"
"udp","175.45.176.2","6551","149.171.126.12","162","2","0","136","0","INT","1421927462","1421927462","2.1e-05","dos"
"tcp","175.45.176.2","7371","149.171.126.15","110","22","38","1062","30944","FIN","1421927463","1421927464","0.760579","exploits"
"tcp","175.45.176.0","44900","149.171.126.10","36668","10","6","724","268","FIN","1421927465","1421927466","0.240026","shellcode"
"udp","175.45.176.1","18257","149.171.126.10","35019","2","0","376","0","INT","1421927466","1421927466","4.00E-6","shellcode"
"tcp","175.45.176.0","40411","149.171.126.13","110","78","416","3470","538277","FIN","1421927464","1421927467","2,788,974","exploits"
"tcp","175.45.176.0","40411","149.171.126.13","110","78","416","3470","538277","FIN","1421927464","1421927467","2,788,974","exploits"
"tcp","175.45.176.0","7595","149.171.126.14","5555","10","6","1944","268","FIN","1421927470","1421927471","0.173385","exploits"
"tcp","175.45.176.3","22406","149.171.126.14","80","10","8","820","2900","FIN","1421927471","1421927472","0.21913","exploits"
"tcp","175.45.176.3","52793","149.171.126.16","80","12","32","920","34618","FIN","1421927473","1421927474","0.388577","exploits"
"tcp","175.45.176.1","4542","149.171.126.12","80","10","6","886","268","FIN","1421927474","1421927475","0.191423","exploits"
"tcp","175.45.176.2","35605","149.171.126.18","80","10","12","836","7512","FIN","1421927476","1421927476","0.196875","exploits"
"tcp","175.45.176.1","43058","149.171.126.14","110","22","40","1016","32278","FIN","1421927476","1421927477","0.785499","exploits"
"tcp","175.45.176.1","43058","149.171.126.14","110","22","40","1016","32278","FIN","1421927476","1421927477","0.785499","exploits"
"tcp","175.45.176.3","42061","149.171.126.18","59324","10","8","732","354","FIN","1421927477","1421927478","0.389653","shellcode"
"tcp","175.45.176.1","9638","149.171.126.17","80","10","6","908","268","FIN","1421927478","1421927479","0.179551","exploits"
"tcp","175.45.176.3","40982","149.171.126.12","25","26","20","9089","1856","FIN","1421927479","1421927480","0.819719","exploits"
"tcp","175.45.176.2","40291","149.171.126.19","143","18","24","1008","12548","FIN","1421927481","1421927482","0.668831","exploits"
"tcp","175.45.176.2","40291","149.171.126.19","143","18","24","1008","12548","FIN","1421927481","1421927482","0.668831","exploits"
"tcp","175.45.176.2","40291","149.171.126.19","143","18","24","1008","12548","FIN","1421927481","1421927482","0.668831","exploits"
"tcp","175.45.176.2","8037","149.171.126.10","80","16","54","1516","66749","FIN","1421927485","1421927485","0.383638","generic"
"udp","175.45.176.2","49950","149.171.126.16","5060","2","0","1354","0","INT","1421927486","1421927486","3.00E-6","generic"
"tcp","175.45.176.3","3910","149.171.126.10","19757","10","6","724","268","FIN","1421927487","1421927488","0.189041","shellcode"
"tcp","175.45.176.1","56648","149.171.126.19","25","24","20","8374","1730","FIN","1421927488","1421927489","0.809739","generic"
"tcp","175.45.176.3","4267","149.171.126.14","80","10","12","774","8236","FIN","1421927490","1421927490","0.247229","exploits"
"tcp","175.45.176.3","34845","149.171.126.19","110","24","48","1126","41028","FIN","1421927490","1421927491","0.963382","exploits"
"tcp","175.45.176.1","38267","149.171.126.10","80","10","8","962","354","FIN","1421927491","1421927492","0.410186","exploits"
"tcp","175.45.176.0","13630","149.171.126.12","110","20","22","956","4670","FIN","1421927492","1421927493","0.812535","dos"
"tcp","175.45.176.0","3694","149.171.126.10","80","18","62","1224","74067","FIN","1421927493","1421927494","0.540105","exploits"
"tcp","175.45.176.1","11116","149.171.126.12","80","10","6","804","268","FIN","1421927494","1421927495","0.17926","exploits"
"tcp","175.45.176.1","6719","149.171.126.17","80","10","6","1196","268","FIN","1421927495","1421927496","0.193578","exploits"
"tcp","175.45.176.1","10126","149.171.126.19","1521","22","18","5464","2230","FIN","1421927497","1421927497","0.826131","exploits"
"tcp","175.45.176.3","44421","149.171.126.18","80","10","8","854","2132","FIN","1421927499","1421927499","0.246554","dos"
"tcp","175.45.176.2","24568","149.171.126.12","23","14","10","800","518","FIN","1421927501","1421927501","0.420799","exploits"
"tcp","175.45.176.2","32188","149.171.126.11","80","10","8","802","1332","FIN","1421927502","1421927502","0.270259","dos"
"tcp","175.45.176.1","42419","149.171.126.12","143","18","20","1004","6092","FIN","1421927503","1421927503","0.688757","exploits"
"tcp","175.45.176.3","14446","149.171.126.10","110","22","36","1054","26258","FIN","1421927505","1421927505","0.766203","exploits"
"tcp","175.45.176.2","24492","149.171.126.10","21","22","22","1186","1616","FIN","1421927507","1421927508","1,198,946","exploits"
"tcp","175.45.176.2","24492","149.171.126.10","21","22","22","1186","1616","FIN","1421927507","1421927508","1,198,946","exploits"
"tcp","175.45.176.2","2114","149.171.126.10","65419","8","10","364","3544","FIN","1421927507","1421927508","0.585136","exploits"
"tcp","175.45.176.2","2114","149.171.126.10","65419","8","10","364","3544","FIN","1421927507","1421927508","0.585136","exploits"
"tcp","175.45.176.2","50303","149.171.126.12","143","20","38","1122","31252","FIN","1421927510","1421927510","0.727269","exploits"
"tcp","175.45.176.2","54486","149.171.126.16","80","10","8","806","924","FIN","1421927511","1421927511","0.215663","exploits"
"tcp","175.45.176.2","49019","149.171.126.19","80","10","8","1276","996","FIN","1421927512","1421927512","0.263397","exploits"
"tcp","175.45.176.0","37584","149.171.126.16","143","22","46","1166","41224","FIN","1421927514","1421927514","0.640271","exploits"
"tcp","175.45.176.2","20776","149.171.126.12","80","10","8","920","1016","FIN","1421927515","1421927515","0.227812","exploits"
"tcp","175.45.176.2","61357","149.171.126.12","80","10","8","1118","2942","FIN","1421927517","1421927517","0.282589","generic"
"tcp","175.45.176.0","49815","149.171.126.13","110","114","668","4998","857090","FIN","1421927513","1421927517","3,681,019","exploits"
"tcp","175.45.176.0","50162","149.171.126.13","21375","10","6","720","268","FIN","1421927519","1421927519","0.190013","shellcode"
"tcp","175.45.176.2","15858","149.171.126.15","80","10","10","844","5132","FIN","1421927521","1421927521","0.210934","exploits"
"tcp","175.45.176.2","39484","149.171.126.12","80","10","6","3202","268","FIN","1421927523","1421927523","0.179825","exploits"
"udp","175.45.176.1","24061","149.171.126.10","5060","2","0","762","0","INT","1421927524","1421927524","9.00E-6","exploits"
"tcp","175.45.176.2","14338","149.171.126.14","25","24","20","8174","1752","FIN","1421927525","1421927526","0.770105","generic"
"tcp","175.45.176.0","16431","149.171.126.15","8080","10","6","1132","268","FIN","1421927526","1421927526","0.245102","exploits"
"tcp","175.45.176.1","38706","149.171.126.16","4316","10","6","634","268","FIN","1421927527","1421927527","0.186056","shellcode"
"udp","175.45.176.1","25540","149.171.126.10","69","2","0","1098","0","INT","1421927528","1421927528","5.00E-6","generic"
"tcp","175.45.176.1","25642","149.171.126.10","80","10","6","1052","268","FIN","1421927529","1421927529","0.182807","exploits"
"tcp","175.45.176.0","39367","149.171.126.14","80","10","8","812","2102","FIN","1421927530","1421927530","0.286396","exploits"
"tcp","175.45.176.0","1069","149.171.126.17","64551","8","18","364","16744","FIN","1421927533","1421927533","0.299504","dos"
"tcp","175.45.176.0","1305","149.171.126.17","21","22","24","1072","1790","FIN","1421927532","1421927533","138,922","dos"
"tcp","175.45.176.0","27767","149.171.126.17","80","10","6","832","268","FIN","1421927533","1421927533","0.205144","exploits"
"tcp","175.45.176.0","13713","149.171.126.17","62999","8","6","364","268","FIN","1421927532","1421927533","0.474462","dos"
"tcp","175.45.176.0","14977","149.171.126.15","16000","10","10","638","4772","FIN","1421927535","1421927535","0.203967","generic"
"tcp","175.45.176.1","32145","149.171.126.18","3690","14","12","922","872","FIN","1421927537","1421927537","0.450016","exploits"
"tcp","175.45.176.0","50123","149.171.126.13","110","24","58","1124","53652","FIN","1421927536","1421927537","0.8489","exploits"
"tcp","175.45.176.0","50123","149.171.126.13","110","24","58","1124","53652","FIN","1421927536","1421927537","0.8489","exploits"
"tcp","175.45.176.1","30074","149.171.126.18","80","10","8","846","1008","FIN","1421927538","1421927538","0.247985","dos"
"tcp","175.45.176.2","44100","149.171.126.12","80","14","6","6910","268","FIN","1421927539","1421927539","0.216466","exploits"
"tcp","175.45.176.1","63277","149.171.126.18","110","34","116","1546","129538","FIN","1421927541","1421927542","1,272,334","exploits"
"tcp","175.45.176.3","34032","149.171.126.11","1900","10","6","622","268","FIN","1421927542","1421927542","0.268598","exploits"
"tcp","175.45.176.3","60693","149.171.126.12","25","22","20","3209","1876","FIN","1421927543","1421927544","0.845473","exploits"
"tcp","175.45.176.0","14832","149.171.126.11","119","14","10","4600","618","FIN","1421927544","1421927544","0.309507","exploits"
"tcp","175.45.176.2","48917","149.171.126.12","80","14","24","1902","22956","FIN","1421927545","1421927545","0.319114","exploits"
"tcp","175.45.176.0","39886","149.171.126.10","80","12","10","1256","2544","FIN","1421927546","1421927547","0.376695","exploits"
"tcp","175.45.176.3","16605","149.171.126.18","80","10","8","798","2032","FIN","1421927548","1421927548","0.24091","exploits"
"tcp","175.45.176.3","53572","149.171.126.18","80","10","8","1464","972","FIN","1421927549","1421927549","0.224496","exploits"
"udp","175.45.176.2","10523","149.171.126.19","11353","2","0","352","0","INT","1421927549","1421927549","1.00E-5","shellcode"
"tcp","175.45.176.3","59257","149.171.126.18","80","16","56","1094","67195","FIN","1421927548","1421927549","0.365112","exploits"
"tcp","175.45.176.3","43914","149.171.126.10","6542","14","8","4516","432","FIN","1421927550","1421927550","0.284158","exploits"
"tcp","175.45.176.0","15742","149.171.126.18","143","18","26","1024","15030","FIN","1421927551","1421927552","0.622132","exploits"
"tcp","175.45.176.0","31200","149.171.126.12","5002","10","6","1596","268","FIN","1421927552","1421927552","0.175743","dos"
"udp","175.45.176.1","35067","149.171.126.14","4354","2","0","256","0","INT","1421927554","1421927554","1.1e-05","shellcode"
"tcp","175.45.176.2","46355","149.171.126.10","80","22","38","3090","39600","FIN","1421927553","1421927556","2,802,158","exploits"
"tcp","175.45.176.2","34347","149.171.126.10","80","40","220","2200","282243","FIN","1421927557","1421927559","1,405,337","dos"
"tcp","175.45.176.1","1961","149.171.126.11","80","14","40","1478","48886","FIN","1421927562","1421927562","0.420918","generic"
"tcp","175.45.176.1","32979","149.171.126.16","80","36","124","3636","164758","FIN","1421927559","1421927562","3,161,003","exploits"
"tcp","175.45.176.3","32041","149.171.126.13","80","130","826","5932","1087989","FIN","1421927558","1421927563","4,373,165","exploits"
"tcp","175.45.176.1","7558","149.171.126.15","80","12","8","1428","1426","FIN","1421927563","1421927566","2,395,836","dos"
"tcp","175.45.176.0","52155","149.171.126.13","80","14","34","1290","39472","FIN","1421927566","1421927566","0.225714","generic"
"tcp","175.45.176.0","34953","149.171.126.11","25","72","28","74556","2244","FIN","1421927567","1421927567","0.94448","dos"
"tcp","175.45.176.1","44695","149.171.126.15","80","22","92","1708","115690","FIN","1421927568","1421927568","0.51296","generic"
"tcp","175.45.176.0","56271","149.171.126.17","110","10","8","2554","476","FIN","1421927568","1421927569","0.233355","exploits"
"tcp","175.45.176.2","42963","149.171.126.13","554","10","14","828","9452","FIN","1421927572","1421927572","0.230327","exploits"
"tcp","175.45.176.1","31262","149.171.126.12","80","10","12","758","7844","FIN","1421927573","1421927573","0.224308","exploits"
"tcp","175.45.176.0","23608","149.171.126.15","443","10","10","934","4262","FIN","1421927574","1421927574","0.361008","exploits"
"tcp","175.45.176.1","64581","149.171.126.18","110","24","50","1136","46162","FIN","1421927576","1421927576","0.784385","exploits"
"tcp","175.45.176.1","40245","149.171.126.18","56301","8","8","364","854","FIN","1421927575","1421927576","0.52094","exploits"
"tcp","175.45.176.1","40245","149.171.126.18","56301","8","8","364","854","FIN","1421927575","1421927576","0.52094","exploits"
"tcp","175.45.176.1","36359","149.171.126.18","21","22","22","1178","1636","FIN","1421927575","1421927576","1,182,451","exploits"
"tcp","175.45.176.1","36359","149.171.126.18","21","22","22","1178","1636","FIN","1421927575","1421927576","1,182,451","exploits"
"tcp","175.45.176.2","41045","149.171.126.13","80","10","12","804","6868","FIN","1421927578","1421927578","0.184237","exploits"
"tcp","175.45.176.1","40453","149.171.126.14","25","252","54","308887","3276","FIN","1421927579","1421927580","1,259,073","exploits"
"tcp","175.45.176.1","29636","149.171.126.13","80","14","6","1462","268","FIN","1421927581","1421927583","2,447,321","exploits"
"tcp","175.45.176.2","52913","149.171.126.15","80","12","10","1178","3254","FIN","1421927583","1421927583","0.252831","exploits"
"tcp","175.45.176.1","34733","149.171.126.14","80","10","10","886","5004","FIN","1421927584","1421927584","0.19871","exploits"
"tcp","175.45.176.1","46673","149.171.126.13","80","10","10","826","2188","FIN","1421927587","1421927587","0.475653","dos"
"tcp","175.45.176.1","59044","149.171.126.19","25","72","26","72580","2042","FIN","1421927586","1421927587","1,063,009","exploits"
"tcp","175.45.176.1","38874","149.171.126.10","25","88","30","94052","2108","FIN","1421927588","1421927589","1,023,026","exploits"
"tcp","175.45.176.1","38874","149.171.126.10","25","88","30","94052","2108","FIN","1421927588","1421927589","1,023,026","exploits"
"tcp","175.45.176.3","49433","149.171.126.15","110","20","20","956","3228","FIN","1421927589","1421927590","0.772374","exploits"
"tcp","175.45.176.3","49433","149.171.126.15","110","20","20","956","3228","FIN","1421927589","1421927590","0.772374","exploits"
"tcp","175.45.176.2","3829","149.171.126.16","143","18","24","1022","10898","FIN","1421927592","1421927592","0.646821","exploits"
"tcp","175.45.176.1","57689","149.171.126.12","80","10","10","800","6188","FIN","1421927593","1421927593","0.242588","exploits"
"tcp","175.45.176.0","50753","149.171.126.15","80","10","6","1170","268","FIN","1421927594","1421927594","0.180104","exploits"
"tcp","175.45.176.3","31996","149.171.126.19","80","10","6","912","268","FIN","1421927595","1421927595","0.196738","exploits"
"ospf","175.45.176.2","0","149.171.126.11","0","20","0","1040","0","INT","1421927596","1421927596","0.518061","exploits"
"ospf","175.45.176.2","0","149.171.126.11","0","20","0","1040","0","INT","1421927596","1421927596","0.518061","exploits"
"ospf","175.45.176.2","0","149.171.126.11","0","20","0","1040","0","INT","1421927596","1421927596","0.518061","fuzzers"
"ospf","175.45.176.2","0","149.171.126.11","0","20","0","1040","0","INT","1421927596","1421927596","0.518061","exploits"
"ospf","175.45.176.2","0","149.171.126.11","0","20","0","1040","0","INT","1421927596","1421927596","0.518061","exploits"
"ospf","175.45.176.2","0","149.171.126.11","0","20","0","1040","0","INT","1421927596","1421927596","0.518061","fuzzers"
"tcp","175.45.176.1","1918","149.171.126.10","80","20","84","2050","101920","FIN","1421927599","1421927600","0.588697","generic"
"udp","175.45.176.3","10905","149.171.126.11","1900","2","0","1324","0","INT","1421927600","1421927600","1.2e-05","exploits"
"tcp","175.45.176.1","21975","149.171.126.10","25","32","22","21158","1940","FIN","1421927601","1421927602","0.985601","exploits"
"tcp","175.45.176.1","21975","149.171.126.10","25","32","22","21158","1940","FIN","1421927601","1421927602","0.985601","exploits"
"tcp","175.45.176.1","50681","149.171.126.11","80","10","8","906","3196","FIN","1421927602","1421927602","0.212959","dos"
"tcp","175.45.176.1","7503","149.171.126.10","8080","10","6","1882","268","FIN","1421927604","1421927604","0.200812","dos"
"tcp","175.45.176.2","36776","149.171.126.10","25","78","28","82366","2022","FIN","1421927603","1421927604","0.960592","exploits"
"tcp","175.45.176.1","27279","149.171.126.17","80","12","24","918","24702","FIN","1421927605","1421927605","0.401714","exploits"
"tcp","175.45.176.3","46416","149.171.126.17","80","12","18","918","17716","FIN","1421927607","1421927608","0.242566","exploits"
"tcp","175.45.176.2","6792","149.171.126.17","80","10","6","944","268","FIN","1421927608","1421927608","0.217181","exploits"
"tcp","175.45.176.2","41336","149.171.126.12","20031","60","12","70349","526","FIN","1421927609","1421927609","0.481904","exploits"
"tcp","175.45.176.3","29189","149.171.126.15","80","10","14","800","9692","FIN","1421927610","1421927610","0.241318","exploits"
"tcp","175.45.176.2","55799","149.171.126.12","20031","8","6","364","268","FIN","1421927610","1421927610","0.234308","exploits"
"tcp","175.45.176.3","60197","149.171.126.19","110","12","10","2832","637","FIN","1421927613","1421927614","0.542439","exploits"
"tcp","175.45.176.0","62988","149.171.126.15","80","10","8","784","1604","FIN","1421927614","1421927614","0.266142","exploits"
"tcp","175.45.176.0","55399","149.171.126.10","80","12","24","848","26048","FIN","1421927615","1421927615","0.247613","exploits"
"tcp","175.45.176.0","27068","149.171.126.13","25","118","34","132632","2308","FIN","1421927616","1421927617","1,067,048","exploits"
"tcp","175.45.176.3","35948","149.171.126.16","80","10","10","800","1156","FIN","1421927617","1421927618","0.487234","dos"
"tcp","175.45.176.2","16436","149.171.126.12","119","10","8","1474","440","FIN","1421927618","1421927618","0.241641","generic"
"udp","175.45.176.0","34703","149.171.126.19","5060","2","0","1456","0","INT","1421927620","1421927620","1.2e-05","generic"
"tcp","175.45.176.0","64570","149.171.126.18","25","24","20","6199","1838","FIN","1421927621","1421927622","0.606346","exploits"
"tcp","175.45.176.2","59451","149.171.126.16","34049","10","6","728","268","FIN","1421927623","1421927623","0.170426","shellcode"
"tcp","175.45.176.3","52754","149.171.126.15","7080","14","6","1786","268","FIN","1421927622","1421927624","2,362,805","exploits"
"tcp","175.45.176.3","43018","149.171.126.12","21","20","22","1092","1612","FIN","1421927624","1421927625","0.916768","exploits"
"tcp","175.45.176.3","43018","149.171.126.12","21","20","22","1092","1612","FIN","1421927624","1421927625","0.916768","exploits"
"tcp","175.45.176.3","7333","149.171.126.12","57026","8","8","364","716","FIN","1421927625","1421927625","0.368852","exploits"
"tcp","175.45.176.3","7333","149.171.126.12","57026","8","8","364","716","FIN","1421927625","1421927625","0.368852","exploits"
"tcp","175.45.176.1","30323","149.171.126.15","80","10","8","808","1442","FIN","1421927626","1421927626","0.213146","exploits"
"tcp","175.45.176.2","10556","149.171.126.14","25","282","58","347446","3298","FIN","1421927627","1421927629","1,808,178","exploits"
"tcp","175.45.176.2","10556","149.171.126.14","25","282","58","347446","3298","FIN","1421927627","1421927629","1,808,178","exploits"
"tcp","175.45.176.0","19997","149.171.126.13","80","10","6","984","268","FIN","1421927629","1421927629","0.183965","exploits"
"tcp","175.45.176.3","42709","149.171.126.11","80","50","278","2566","357553","FIN","1421927630","1421927632","1,510,987","exploits"
"tcp","175.45.176.0","30689","149.171.126.12","60696","8","8","364","680","FIN","1421927632","1421927632","0.339326","exploits"
"tcp","175.45.176.0","30689","149.171.126.12","60696","8","8","364","680","FIN","1421927632","1421927632","0.339326","exploits"
"tcp","175.45.176.0","23168","149.171.126.12","21","22","22","1194","1646","FIN","1421927631","1421927632","0.949332","exploits"
"tcp","175.45.176.0","23168","149.171.126.12","21","22","22","1194","1646","FIN","1421927631","1421927632","0.949332","exploits"
"tcp","175.45.176.2","11926","149.171.126.13","37552","10","6","524","268","FIN","1421927633","1421927634","0.218966","shellcode"
"tcp","175.45.176.0","41253","149.171.126.14","80","10","8","770","968","FIN","1421927634","1421927635","0.214759","dos"
"tcp","175.45.176.1","59131","149.171.126.11","58215","8","10","364","3754","FIN","1421927639","1421927639","0.406861","exploits"
"tcp","175.45.176.1","59131","149.171.126.11","58215","8","10","364","3754","FIN","1421927639","1421927639","0.406861","exploits"
"tcp","175.45.176.2","35996","149.171.126.19","25","232","50","283028","3010","FIN","1421927637","1421927639","1,879,737","exploits"
"tcp","175.45.176.2","35996","149.171.126.19","25","232","50","283028","3010","FIN","1421927637","1421927639","1,879,737","exploits"
"tcp","175.45.176.1","55669","149.171.126.11","21","22","22","1170","1654","FIN","1421927638","1421927640","1,071,544","exploits"
"tcp","175.45.176.1","55669","149.171.126.11","21","22","22","1170","1654","FIN","1421927638","1421927640","1,071,544","exploits"
"tcp","175.45.176.0","26420","149.171.126.13","143","24","64","1266","65578","FIN","1421927639","1421927640","0.693588","exploits"
"tcp","175.45.176.3","17192","149.171.126.10","80","10","8","808","1378","FIN","1421927640","1421927641","0.213909","exploits"
"tcp","175.45.176.1","15099","149.171.126.17","3306","12","10","866","562","FIN","1421927642","1421927643","0.270462","exploits"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","exploits"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","exploits"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","exploits"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","dos"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","fuzzers"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","generic"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","exploits"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","exploits"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","exploits"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","dos"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","fuzzers"
"ospf","175.45.176.3","0","149.171.126.14","0","28","0","3024","0","INT","1421927643","1421927645","1,217,401","generic"
"tcp","175.45.176.3","43831","149.171.126.13","80","10","8","784","918","FIN","1421927646","1421927646","0.228079","dos"
"tcp","175.45.176.2","54945","149.171.126.15","110","62","314","2758","397524","FIN","1421927644","1421927646","1,787,587","exploits"
"tcp","175.45.176.3","36984","149.171.126.16","80","12","32","1288","34708","FIN","1421927646","1421927647","0.394707","generic"
"tcp","175.45.176.3","39335","149.171.126.13","80","10","8","1120","1016","FIN","1421927647","1421927648","0.200028","exploits"
"tcp","175.45.176.0","7602","149.171.126.14","80","10","12","816","6552","FIN","1421927649","1421927649","0.22215","exploits"
"tcp","175.45.176.2","48429","149.171.126.12","80","10","6","890","268","FIN","1421927649","1421927650","0.174708","exploits"
"tcp","175.45.176.0","54704","149.171.126.18","25","30","20","17082","1760","FIN","1421927650","1421927651","0.498175","exploits"
"tcp","175.45.176.2","17498","149.171.126.19","110","1632","10970","70256","14655417","FIN","1421927598","1421927652","54,265,602","dos"
"tcp","175.45.176.3","11567","149.171.126.11","80","10","8","776","1364","FIN","1421927654","1421927654","0.224213","exploits"
"tcp","175.45.176.0","4425","149.171.126.19","80","10","8","694","354","FIN","1421927656","1421927656","0.395642","fuzzers"
"tcp","175.45.176.0","12089","149.171.126.19","80","10","8","630","354","FIN","1421927656","1421927656","0.388297","fuzzers"
"tcp","175.45.176.0","53372","149.171.126.19","80","10","6","630","268","FIN","1421927655","1421927656","0.180398","fuzzers"
"tcp","175.45.176.0","4441","149.171.126.19","80","10","6","694","268","FIN","1421927657","1421927657","0.175691","fuzzers"
"tcp","175.45.176.0","21117","149.171.126.14","80","10","6","1398","268","FIN","1421927657","1421927657","0.165148","exploits"
"tcp","175.45.176.0","62468","149.171.126.19","80","10","8","522","354","FIN","1421927657","1421927657","0.432149","fuzzers"
"tcp","175.45.176.2","19397","149.171.126.15","25","18","16","1354","1990","FIN","1421927658","1421927658","0.505217","generic"
